date,clinicID,doctorID,specialization,day,tokenNumber,index,servedAfterBreak,TimeCalled,type,TimeTaken,AvgWaitTime
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,A1,0,False,22:13:53,Advance,00:00:00,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W2,1,False,22:26:43,walkin,00:12:50,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W3,2,True,22:27:44,walkin,00:01:01,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W4,3,True,22:27:46,walkin,00:00:02,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W3,4,True,22:27:49,walkin,00:00:03,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W4,5,True,22:28:06,walkin,00:00:17,00:02:22.166666666
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,W2,0,False,13:14:24,walkin,00:00:00,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A2,1,False,13:14:31,Advance,00:00:07,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A3,2,False,13:14:31,Advance,00:00:00,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A4,3,False,13:14:51,Advance,00:00:20,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A5,4,False,13:14:58,Advance,00:00:07,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A6,5,False,13:15:01,Advance,00:00:03,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,W3,6,False,13:15:25,walkin,00:00:24,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,W4,7,False,13:15:26,walkin,00:00:01,00:00:07.750000
2025-04-14,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Monday,W5,0,False,06:16:08,walkin,00:00:00,00:00:00
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A15,0,False,05:42:09,advance,00:00:00,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A7,1,False,05:42:10,advance,00:00:01,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A12,2,False,05:42:12,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A23,3,False,05:42:14,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A8,4,False,05:42:16,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A14,5,False,05:42:21,advance,00:00:05,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W5,6,False,05:42:42,walkin,00:00:21,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W12,7,False,05:42:44,walkin,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A7,8,False,05:42:46,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W14,9,False,05:42:47,walkin,00:00:01,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A8,10,False,05:42:49,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W7,11,False,05:42:51,walkin,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A13,12,False,05:42:53,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W19,13,False,05:42:54,walkin,00:00:01,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W18,14,False,05:43:15,walkin,00:00:21,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A17,15,False,05:43:17,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A10,16,False,05:43:19,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A11,17,False,05:43:20,advance,00:00:01,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W2,18,False,05:43:22,walkin,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W13,19,False,05:43:24,walkin,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W17,20,False,05:43:26,walkin,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W4,21,False,05:43:27,walkin,00:00:01,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A5,22,False,05:43:39,advance,00:00:12,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W8,23,False,05:43:41,walkin,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W18,24,False,05:44:18,walkin,00:00:37,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W15,25,False,05:44:24,walkin,00:00:06,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A1,26,False,05:44:26,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W11,27,False,05:44:32,walkin,00:00:06,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A4,28,False,05:44:34,advance,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W9,29,False,05:47:13,walkin,00:02:39,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W14,30,False,05:47:15,walkin,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W8,31,False,05:47:17,walkin,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W1,32,False,05:47:18,walkin,00:00:01,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W7,33,False,05:47:20,walkin,00:00:02,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W13,34,False,05:47:22,walkin,00:00:02,00:00:07.818181818
